location,size,total_sqft,bath,balcony,price,bhk,price_per_sqft
Hoodi,2 BHK,1420.0,2.0,2.0,91463.41463414633,2,6441085.537615939
Kathriguppe,3 BHK,1250.0,2.0,1.0,83841.46341463414,3,6707317.073170732
Nagappa Reddy Layout,2 BHK,1209.0,2.0,1.0,60975.60975609756,2,5043474.75236539
Kempapura,5 Bedroom,4200.0,5.0,2.0,274390.243902439,5,6533101.045296167
BTM 1st Stage,4 Bedroom,1215.0,4.0,3.0,250000.0,4,20576131.6872428
Panathur,3 BHK,1315.0,2.0,1.0,66829.26829268293,3,5082073.634424558
Kariyammana Agrahara,3 BHK,1800.0,3.0,3.0,109756.09756097561,3,6097560.975609756
Hessarghatta,5 Bedroom,1600.0,4.0,0.0,152439.0243902439,5,9527439.024390243
TC Palaya,3 BHK,1600.0,2.0,2.0,79268.29268292683,3,4954268.292682927
Binnamangala,6 Bedroom,3968.0,5.0,2.0,1097560.975609756,6,27660306.845003933
Suraksha Nagar,3 BHK,1563.0,3.0,2.0,63414.634146341465,3,4057238.2691197353
Whitefield,3 BHK,1560.0,2.0,2.0,87804.87804878049,3,5628517.823639776
Rachenahalli,2 BHK,1050.0,2.0,2.0,67682.9268292683,2,6445993.031358885
Iblur Village,3 BHK,3235.0,3.0,1.0,286585.3658536585,3,8858898.480793154
TC Palaya,3 Bedroom,1200.0,3.0,0.0,80487.80487804877,3,6707317.073170731
HSR Layout,2 BHK,1140.0,2.0,2.0,56097.560975609755,2,4920838.682071031
7th Phase JP Nagar,3 Bedroom,1500.0,3.0,1.0,207317.07317073172,3,13821138.211382115
Horamavu Agara,3 BHK,1560.0,3.0,2.0,91463.41463414633,3,5863039.399624765
JP Nagar,2 BHK,1100.0,2.0,2.0,85365.85365853658,2,7760532.150776053
Kasavanhalli,3 BHK,1260.0,2.0,3.0,49170.73170731707,3,3902439.0243902435
Hebbal,2 BHK,1036.0,2.0,1.0,60975.60975609756,2,5885676.617383935
Akshaya Nagar,3 BHK,1662.0,3.0,3.0,103780.48780487805,3,6244313.345660532
Yelachenahalli,3 BHK,1464.0,2.0,3.0,128048.78048780488,3,8746501.399440223
Yelahanka,2 BHK,1234.0,2.0,2.0,97560.9756097561,2,7906075.819267107
Sarjapur  Road,3 BHK,1403.0,3.0,1.0,67073.17073170732,3,4780696.417085339
Kadugondanahalli,4 Bedroom,915.0,4.0,1.0,66951.21951219512,4,7317073.1707317075
2nd Stage Nagarbhavi,6 Bedroom,3000.0,8.0,3.0,550000.0,6,18333333.333333332
Seegehalli,3 BHK,1150.0,2.0,2.0,52317.07317073171,3,4549310.710498409
Hebbal,4 BHK,3900.0,4.0,2.0,500000.0,4,12820512.82051282
Yeshwanthpur,5 Bedroom,850.0,4.0,2.0,109756.09756097561,5,12912482.065997131
Kanakapura,2 BHK,929.0,2.0,1.0,56097.560975609755,2,6038488.802541415
2nd Stage Nagarbhavi,6 Bedroom,2400.0,8.0,3.0,548780.487804878,6,22865853.658536583
TC Palaya,3 Bedroom,1350.0,2.0,1.0,91463.41463414633,3,6775067.7506775055
Vasanthapura,2 BHK,1135.0,2.0,1.0,48451.219512195115,2,4268829.912968733
Basava Nagar,2 BHK,1405.0,2.0,2.0,85365.85365853658,2,6075861.470358475
Whitefield,2 Bedroom,1200.0,2.0,1.0,55902.439024390245,2,4658536.585365854
Haralur Road,4 BHK,2805.0,4.0,3.0,187804.8780487805,4,6695361.071257771
Yeshwanthpur,2 BHK,1161.0,2.0,2.0,78146.34146341463,2,6730951.030440536
Kanakpura Road,2 BHK,1290.0,2.0,3.0,90243.90243902439,2,6995651.351862356
Yeshwanthpur,3 BHK,2557.0,3.0,2.0,171951.21951219512,3,6724725.049362344
2nd Block Hrbr Layout,3 BHK,1480.0,3.0,2.0,109756.09756097561,3,7415952.537903758
Old Madras Road,3 BHK,1350.0,3.0,0.0,66512.19512195123,3,4926829.268292683
Kadugodi,3 BHK,1580.0,2.0,2.0,79268.29268292683,3,5016980.549552331
Banashankari,3 BHK,1470.0,2.0,1.0,108097.56097560975,3,7353575.576572092
Ananth Nagar,1 BHK,500.0,1.0,1.0,17073.170731707316,1,3414634.146341463
Sarjapur  Road,2 BHK,1346.0,2.0,1.0,75512.19512195123,2,5610118.508317327
Canara Bank Layout,3 BHK,1600.0,3.0,3.0,109756.09756097561,3,6859756.097560976
Naganathapura,2 BHK,720.0,2.0,1.0,146341.46341463414,2,20325203.25203252
Manjunath Nagar,4 Bedroom,1200.0,4.0,0.0,164634.1463414634,4,13719512.195121951
Basapura,2 BHK,1200.0,2.0,2.0,42682.92682926829,2,3556910.569105691
Channasandra,3 BHK,1340.0,2.0,2.0,58939.0243902439,3,4398434.6559883505
Jigani,2 BHK,918.0,2.0,2.0,58536.58536585366,2,6376534.35357883
Singena Agrahara,3 Bedroom,1500.0,3.0,2.0,140243.9024390244,3,9349593.49593496
Yelahanka,2 BHK,1315.0,2.0,2.0,103658.53658536586,2,7882778.44755634
Uttarahalli,3 BHK,1390.0,2.0,2.0,76280.48780487805,3,5487804.87804878
Uttarahalli,3 BHK,1330.0,2.0,1.0,68292.68292682926,3,5134788.189987162
Mango Garden Layout,3 BHK,1824.0,3.0,3.0,152439.0243902439,3,8357402.652973898
7th Phase JP Nagar,3 BHK,1420.0,2.0,2.0,117073.17073170732,3,8244589.488148403
Kacharakanahalli,1 Bedroom,750.0,1.0,0.0,68597.56097560975,1,9146341.463414634
Jalahalli East,3 BHK,1260.0,2.0,1.0,73170.73170731707,3,5807200.929152148
Hennur Road,3 BHK,1561.0,3.0,2.0,115853.65853658537,3,7421759.035015078
5th Phase JP Nagar,9 Bedroom,812.0,6.0,3.0,201219.51219512196,9,24780728.10284753
"Bidere Agarahara, Behind Safal market",2 BHK,1060.0,2.0,2.0,51219.51219512195,2,4832029.4523699945
Hoodi,8 Bedroom,1120.0,8.0,3.0,176829.26829268291,8,15788327.526132403
Haralur Road,2 BHK,1225.0,2.0,1.0,82170.73170731707,2,6707814.833250373
Thanisandra,3 BHK,2144.0,3.0,2.0,164634.1463414634,3,7678831.452493629
Kengeri,7 Bedroom,1200.0,6.0,2.0,170731.70731707316,7,14227642.276422763
Electronic City,2 BHK,880.0,2.0,2.0,35365.85365853659,2,4018847.006651885
Hoodi,3 BHK,1639.0,3.0,2.0,134146.34146341463,3,8184645.60484531
Thanisandra,3 BHK,1240.0,2.0,1.0,75609.75609756098,3,6097560.975609756
Kanakpura Road,2 BHK,1500.0,2.0,2.0,84146.34146341463,2,5609756.097560976
Haralur Road,2 BHK,1243.0,2.0,1.0,56097.560975609755,2,4513078.115495555
Haralur Road,2 BHK,1027.0,2.0,2.0,53658.53658536585,2,5224784.477640297
Kambipura,3 BHK,1082.0,2.0,1.0,68292.68292682926,3,6311708.218745773
Konanakunte,3 BHK,1637.0,3.0,3.0,89024.39024390244,3,5438264.523146148
Kanakpura Road,3 BHK,1665.0,3.0,2.0,105585.36585365854,3,6341463.414634147
Electronic City,2 BHK,1265.0,2.0,0.0,69426.82926829268,2,5488286.898679264
Electronic City,3 BHK,1691.0,2.0,2.0,124390.24390243902,3,7356016.789026554
Thanisandra,2 BHK,1100.0,2.0,1.0,46341.46341463415,2,4212860.310421286
Grihalakshmi Layout,5 Bedroom,24.0,2.0,2.0,182926.82926829267,5,762195121.9512194
Gopalkrishna Nagar,3 Bedroom,1500.0,3.0,2.0,75609.75609756098,3,5040650.406504065
Hosakerehalli,4 BHK,3205.0,5.0,1.0,463414.6341463415,4,14459114.949963853
Kammanahalli,5 Bedroom,1666.0,4.0,1.0,182926.82926829267,5,10980001.756800279
Choodasandra,2 BHK,1115.0,2.0,2.0,60975.60975609756,2,5468664.552116374
Mysore Road,2 BHK,1070.0,2.0,1.0,54878.04878048781,2,5128789.605653066
Indira Nagar,2 BHK,1128.0,2.0,2.0,128048.78048780488,2,11351842.241826672
Budigere,2 BHK,1162.0,2.0,1.0,69512.19512195123,2,5982116.619789262
Sai Gardens,2 BHK,1339.0,2.0,2.0,67073.17073170732,2,5009198.710359023
Mahadevpura,2 BHK,1192.0,2.0,2.0,91463.41463414633,2,7673105.254542477
Haralur Road,3 BHK,1920.0,3.0,1.0,140243.9024390244,3,7304369.918699187
Hennur,2 BHK,1255.0,2.0,1.0,63804.87804878049,2,5084054.027791274
Rajaji Nagar,2 BHK,1357.0,2.0,1.0,140243.9024390244,2,10334849.111202976
Dodda Kempaiah Layout,3 BHK,1600.0,3.0,2.0,91463.41463414633,3,5716463.414634146
Hanumanth Nagar,2 BHK,1225.0,2.0,2.0,67207.31707317074,2,5486311.597809856
Whitefield,4 Bedroom,2400.0,4.0,3.0,243902.43902439025,4,10162601.626016261
Kasturi Nagar,3 BHK,1570.0,3.0,3.0,97560.9756097561,3,6214074.8796023
Thanisandra,2 BHK,1093.0,2.0,2.0,85365.85365853658,2,7810233.637560529
Basaveshwara Nagar,3 BHK,1865.0,3.0,3.0,176829.26829268291,3,9481462.10684627
R.T. Nagar,6 Bedroom,1200.0,7.0,3.0,201219.51219512196,6,16768292.68292683
Kaikondrahalli,2 BHK,1039.0,2.0,2.0,97560.9756097561,2,9389891.78149722
Vittasandra,2 BHK,1246.0,2.0,1.0,78658.53658536586,2,6312884.1561288815
Whitefield,3 BHK,1985.0,3.0,2.0,91463.41463414633,3,4607728.696934324
Hosakerehalli,3 BHK,1590.0,3.0,3.0,59756.09756097561,3,3758245.1296211076
Hunasamaranahalli,4 Bedroom,4000.0,4.0,2.0,823170.731707317,4,20579268.292682927
Electronic City Phase II,2 BHK,775.0,2.0,2.0,46341.46341463415,2,5979543.666404407
RWF West Colony,2 BHK,1000.0,2.0,1.0,60975.60975609756,2,6097560.975609756
Hebbal Kempapura,3 BHK,1800.0,3.0,2.0,213414.63414634147,3,11856368.563685637
Bommasandra,2 BHK,1035.0,2.0,1.0,50000.0,2,4830917.874396135
Dasarahalli,3 BHK,1520.0,2.0,1.0,91463.41463414633,3,6017329.910141205
Whitefield,2 BHK,1360.0,2.0,1.0,115853.65853658537,2,8518651.362984218
Bileshivale,4 Bedroom,6000.0,5.0,3.0,487804.8780487805,4,8130081.300813009
Kodigehaali,2 BHK,1117.0,2.0,2.0,68292.68292682926,2,6113937.594165556
KR Puram,4 Bedroom,1200.0,4.0,3.0,146341.46341463414,4,12195121.95121951
EPIP Zone,2 BHK,1330.0,2.0,1.0,112804.87804878049,2,8481569.778103797
Marathahalli,3 BHK,1937.0,3.0,2.0,195121.9512195122,3,10073409.975194229
Electronic City,2 BHK,1128.0,2.0,1.0,79865.85365853658,2,7080306.175402178
Neeladri Nagar,2 BHK,1053.0,2.0,1.0,54878.04878048781,2,5211590.577444236
Panathur,2 BHK,1198.0,2.0,1.0,93902.43902439025,2,7838267.030416547
Marathahalli,2 BHK,1152.0,2.0,1.0,68292.68292682926,2,5928184.281842818
1st Block Jayanagar,6 BHK,1200.0,6.0,2.0,152439.0243902439,6,12703252.032520324
Frazer Town,2 BHK,1625.0,2.0,1.0,91463.41463414633,2,5628517.823639774
Kundalahalli,3 BHK,1397.0,3.0,3.0,128048.78048780488,3,9165982.855247306
Yeshwanthpur,3 BHK,1523.0,3.0,3.0,207317.07317073172,3,13612414.522044105
Kambipura,2 BHK,883.0,2.0,1.0,54878.04878048781,2,6214954.561776648
Kaggalipura,1 BHK,700.0,1.0,0.0,46341.46341463415,1,6620209.05923345
Yelahanka,2 BHK,1170.0,2.0,1.0,76219.51219512195,2,6514488.221805295
Kanakpura Road,3 BHK,1200.0,2.0,2.0,51219.51219512195,3,4268292.682926829
Manayata Tech Park,3 BHK,2400.0,3.0,2.0,207317.07317073172,3,8638211.382113822
Kullappa Colony,2 BHK,1480.0,2.0,2.0,79268.29268292683,2,5355965.72181938
Akshaya Nagar,3 BHK,1897.0,3.0,2.0,146341.46341463414,3,7714362.857914292
Rachenahalli,2 BHK,996.0,2.0,1.0,81707.31707317074,2,8203545.890880596
Haralur Road,3 BHK,1875.0,3.0,2.0,134146.34146341463,3,7154471.544715447
Williams Town,3 BHK,1500.0,2.0,2.0,119512.19512195123,3,7967479.674796748
Jaya Nagar East,3 BHK,3095.0,3.0,3.0,426829.26829268294,3,13790929.508648884
Ambalipura,3 BHK,1390.0,2.0,1.0,213414.63414634147,3,15353570.80189507
Yelahanka,3 BHK,1450.0,3.0,0.0,79579.26829268293,3,5488225.399495374
Yelahanka,1 BHK,697.0,1.0,0.0,54878.04878048781,1,7873464.674388494
Sarjapur  Road,1 BHK,710.0,1.0,1.0,32926.829268292684,1,4637581.587083477
Iggalur,2 BHK,910.0,2.0,1.0,37195.12195121951,2,4087376.0385955507
Sompura,3 BHK,1025.0,2.0,1.0,58536.58536585366,3,5710886.377156455
Magadi Road,2 BHK,1000.0,2.0,0.0,56707.31707317073,2,5670731.707317073
Horamavu Agara,3 BHK,1453.0,2.0,1.0,56682.92682926829,3,3901096.1341547347
Sarjapur  Road,4 BHK,3335.0,5.0,2.0,365853.65853658534,4,10970124.693750683
Thanisandra,2 BHK,971.5,2.0,0.0,44432.92682926829,2,4573641.464669922
Bellandur,2 BHK,1281.0,2.0,1.0,90243.90243902439,2,7044801.12716818
Cooke Town,1 BHK,565.0,1.0,1.0,42682.92682926829,1,7554500.323764299
Varthur,2 BHK,1024.0,2.0,2.0,51219.51219512195,2,5001905.487804878
Electronic City,3 BHK,1620.0,3.0,2.0,75609.75609756098,3,4667268.894911172
Whitefield,2 BHK,1254.0,2.0,2.0,48780.48780487805,2,3889991.0530205783
Banashankari,3 BHK,1300.0,2.0,2.0,91463.41463414633,3,7035647.279549718
Doddakallasandra,2 BHK,1233.0,2.0,2.0,52439.0243902439,2,4252962.2376515735
Chokkanahalli,1 Bedroom,1200.0,1.0,1.0,34146.34146341463,1,2845528.4552845526
Hosur Road,3 BHK,1510.0,2.0,1.0,128048.78048780488,3,8480051.687934097
Kaggalipura,2 BHK,950.0,2.0,1.0,79268.29268292683,2,8344030.80872914
Battarahalli,3 BHK,1945.0,3.0,2.0,118804.87804878049,3,6108219.951094113
Uttarahalli,2 BHK,1008.0,2.0,3.0,54878.04878048781,2,5444250.87108014
Thanisandra,3 BHK,1265.0,2.0,1.0,96341.46341463414,3,7615925.9616311565
Hebbal,3 BHK,1255.0,2.0,1.0,94731.70731707319,3,7548343.212515792
Kanakpura Road,4 BHK,2689.0,6.0,2.0,268292.68292682926,4,9977414.76113162
Yelenahalli,2 BHK,1200.0,2.0,2.0,56304.87804878049,2,4692073.1707317075
Sarjapur  Road,3 BHK,1403.0,3.0,3.0,62963.41463414634,3,4487770.109347565
Kudlu Gate,3 BHK,1535.0,3.0,2.0,103658.53658536586,3,6752999.126082467
Chikkaballapur,3 Bedroom,1500.0,3.0,3.0,121951.21951219512,3,8130081.300813009
Chamrajpet,3 BHK,1475.0,2.0,2.0,146341.46341463414,3,9921455.146754857
Uttarahalli,3 BHK,1390.0,2.0,2.0,73743.90243902439,3,5305316.72223197
Raja Rajeshwari Nagar,3 BHK,1278.0,2.0,1.0,65560.9756097561,3,5129966.792625673
VGP Layout,2 BHK,1133.0,2.0,2.0,67073.17073170732,2,5919962.112242482
Classic Paradise Layout,5 Bedroom,1560.0,5.0,1.0,176829.26829268291,5,11335209.505941212
Byappanahalli,5 Bedroom,2900.0,5.0,2.0,109756.09756097561,5,3784693.0193439866
Kogilu,2 BHK,1170.0,2.0,1.0,63402.439024390245,2,5419011.882426517
Sahakara Nagar,3 Bedroom,1200.0,3.0,3.0,243902.43902439025,3,20325203.252032522
Whitefield,3 BHK,1697.0,3.0,2.0,115597.56097560975,3,6811877.488250428
Thanisandra,3 BHK,1651.0,3.0,3.0,118756.09756097561,3,7192979.864383744
Vasanth nagar,3 BHK,1560.0,3.0,1.0,229268.29268292684,3,14696685.428392746
Hennur Road,3 BHK,1192.0,2.0,1.0,73170.73170731707,3,6138484.203633982
OMBR Layout,2 BHK,1078.0,2.0,3.0,79268.29268292683,2,7353273.903796552
Kumaraswami Layout,7 Bedroom,800.0,7.0,3.0,128048.78048780488,7,16006097.56097561
Kasavanhalli,2 BHK,1349.0,2.0,2.0,95121.9512195122,2,7051293.641179555
Ulsoor,9 Bedroom,2300.0,8.0,1.0,256097.56097560975,9,11134676.564156946
7th Phase JP Nagar,3 BHK,1680.0,3.0,2.0,146341.46341463414,3,8710801.393728223
Rayasandra,3 BHK,1314.0,2.0,2.0,76829.26829268293,3,5846976.277981958
Garudachar Palya,2 BHK,1060.0,2.0,1.0,59390.243902439026,2,5602853.198343304
Kalyan nagar,2 BHK,820.0,2.0,0.0,47560.9756097561,2,5800118.976799524
Whitefield,4 Bedroom,5000.0,4.0,3.0,487804.8780487805,4,9756097.560975611
BEML Layout,3 BHK,2000.0,3.0,2.0,103658.53658536586,3,5182926.829268293
Kalkere,2 BHK,856.0,2.0,3.0,48780.48780487805,2,5698655.117392296
Rajaji Nagar,3 BHK,1621.0,4.0,0.0,158536.58536585365,3,9780171.830095846
ITPL,3 Bedroom,1200.0,3.0,1.0,83414.63414634147,3,6951219.512195123
Bannerghatta Road,3 BHK,1484.0,3.0,2.0,64024.39024390244,3,4314312.011044638
T.C. Palya,4 Bedroom,600.0,5.0,2.0,73170.73170731707,4,12195121.95121951
Siddapura,4 Bedroom,14000.0,3.0,2.0,975609.756097561,4,6968641.114982579
Yelahanka New Town,1 BHK,500.0,1.0,1.0,24390.243902439026,1,4878048.780487806
Makali,1 BHK,485.0,1.0,1.0,18292.682926829268,1,3771687.201408096
7th Phase JP Nagar,2 BHK,1050.0,2.0,1.0,51219.51219512195,2,4878048.780487805
Uttarahalli,3 BHK,1617.0,3.0,3.0,81317.07317073172,3,5028885.168257991
Electronic City,2 BHK,550.0,1.0,1.0,19512.19512195122,2,3547671.840354767
RWF West Colony,3 BHK,1384.0,3.0,2.0,75951.21951219512,3,5487804.87804878
Devanahalli,2 BHK,1408.0,2.0,2.0,103658.53658536586,2,7362111.973392462
Uttarahalli,2 BHK,1150.0,2.0,1.0,59756.09756097561,2,5196182.396606575
Akshaya Nagar,3 BHK,1410.0,2.0,2.0,91463.41463414633,3,6486766.995329527
Kaggadasapura,4 BHK,2150.0,4.0,1.0,121951.21951219512,4,5672149.744753262
Koramangala,3 BHK,2292.0,4.0,1.0,335365.85365853657,3,14632018.04792917
Maragondanahalli,3 BHK,1508.0,3.0,2.0,85670.73170731707,3,5681083.004463997
Ramamurthy Nagar,2 BHK,1040.0,2.0,2.0,60975.60975609756,2,5863039.399624766
TC Palaya,2 Bedroom,1240.0,2.0,1.0,73170.73170731707,2,5900865.460267506
Kudlu Gate,3 BHK,1535.0,3.0,1.0,95121.9512195122,3,6196869.786287439
Lakshminarayana Pura,2 BHK,1180.0,2.0,2.0,91463.41463414633,2,7751136.833402231
Abbigere,6 Bedroom,2200.0,6.0,2.0,82926.82926829268,6,3769401.3303769403
Bannerghatta Road,2 BHK,1400.0,2.0,2.0,95121.9512195122,2,6794425.087108014
Raja Rajeshwari Nagar,1 BHK,500.0,1.0,1.0,30487.80487804878,1,6097560.975609756
Whitefield,4 Bedroom,4800.0,4.0,3.0,640243.9024390244,4,13338414.634146342
Sarjapur  Road,3 BHK,1984.0,4.0,1.0,178048.78048780488,3,8974232.887490164
Whitefield,4 Bedroom,3000.0,5.0,3.0,304878.0487804878,4,10162601.62601626
Garudachar Palya,3 BHK,1960.0,3.0,3.0,195121.9512195122,3,9955201.592832256
Sarjapur  Road,2 BHK,1035.0,2.0,1.0,54878.04878048781,2,5302226.935312832
Vibuthipura,4 Bedroom,2150.0,4.0,1.0,97560.9756097561,4,4537719.79580261
Whitefield,3 BHK,1700.0,3.0,2.0,140243.9024390244,3,8249641.319942611
Hosakerehalli,4 BHK,3024.0,5.0,1.0,302439.0243902439,4,10001290.489095367
Tumkur Road,3 BHK,1586.0,3.0,1.0,121951.21951219512,3,7689231.99950789
Chikka Tirupathi,4 Bedroom,2325.0,4.0,1.0,146341.46341463414,4,6294256.490952006
Yelahanka,2 BHK,1120.0,2.0,2.0,67073.17073170732,2,5988675.958188153
Sarjapur  Road,2 BHK,1128.0,2.0,2.0,71951.21951219512,2,6378654.212074036
5th Block Hbr Layout,6 Bedroom,1200.0,6.0,2.0,304878.0487804878,6,25406504.065040648
Jigani,2 BHK,924.0,2.0,2.0,79268.29268292683,2,8578819.55442931
Suraksha Nagar,3 BHK,1600.0,3.0,2.0,63414.634146341465,3,3963414.6341463416
Pai Layout,2 BHK,1006.0,2.0,2.0,42682.92682926829,2,4242835.668913349
Amruthahalli,2 BHK,1200.0,2.0,2.0,67073.17073170732,2,5589430.894308943
Jalahalli West,2 BHK,1250.0,2.0,1.0,75609.75609756098,2,6048780.4878048785
Defence Layout,3 Bedroom,1200.0,3.0,1.0,158536.58536585365,3,13211382.113821138
Kannamangala,2 BHK,957.0,2.0,1.0,68292.68292682926,2,7136121.517954991
Whitefield,2 BHK,1140.0,2.0,2.0,50000.0,2,4385964.912280702
Roopena Agrahara,2 BHK,1050.0,2.0,1.0,81707.31707317074,2,7781649.2450638795
Kasturi Nagar,3 BHK,1565.0,3.0,2.0,107926.82926829268,3,6896283.02033819
Whitefield,2 BHK,1190.0,2.0,3.0,69512.19512195123,2,5841360.93461775
Whitefield,3 Bedroom,2842.0,3.0,2.0,197560.9756097561,3,6951476.974305281
Kanakpura Road,3 BHK,1558.67,2.0,2.0,79268.29268292683,3,5085636.644249702
Electronics City Phase 1,1 BHK,630.0,1.0,1.0,47560.9756097561,1,7549361.2078977935
Whitefield,3 BHK,1403.0,2.0,2.0,74158.53658536586,3,5285711.802235628
Kanakpura Road,3 BHK,1542.0,2.0,3.0,103658.53658536586,3,6722343.488026321
Haralur Road,4 Bedroom,2750.0,4.0,0.0,268292.68292682926,4,9756097.56097561
Iblur Village,4 BHK,3596.0,5.0,1.0,353658.53658536583,4,9834775.767112508
Mysore Road,2 BHK,1239.0,2.0,1.0,64634.14634146341,2,5216638.122797693
Haralur Road,2 BHK,1194.0,2.0,2.0,57317.07317073171,2,4800424.888670997
Dooravani Nagar,3 BHK,1596.0,3.0,1.0,128048.78048780488,3,8023106.546854942
Channasandra,2 BHK,1009.0,2.0,1.0,46756.09756097561,2,4633904.614566463
Hosa Road,3 BHK,1726.0,3.0,2.0,99987.80487804877,3,5793036.203826697
Kudlu Gate,3 BHK,1535.0,3.0,2.0,104878.0487804878,3,6832446.174624613
Banashankari Stage V,3 BHK,1300.0,2.0,1.0,71341.46341463414,3,5487804.87804878
Whitefield,4 Bedroom,3100.0,4.0,2.0,567073.1707317074,4,18292682.92682927
Coconut Garden,3 BHK,1800.0,3.0,3.0,97560.9756097561,3,5420054.200542006
Binny Pete,1 BHK,665.0,1.0,0.0,61890.243902439026,1,9306803.594351733
Chamrajpet,9 Bedroom,4050.0,7.0,1.0,1463414.6341463414,9,36133694.67028003
TC Palaya,3 Bedroom,1500.0,2.0,1.0,121951.21951219512,3,8130081.300813009
Kalkere,2 BHK,925.0,2.0,2.0,58536.58536585366,2,6328279.499011206
Gollahalli,2 BHK,1395.0,2.0,1.0,77548.78048780488,2,5559052.364717196
Sonnenahalli,3 BHK,1415.0,2.0,1.0,67073.17073170732,3,4740153.4086012235
Begur,3 BHK,1419.0,2.0,2.0,71951.21951219512,3,5070558.105158218
Kasavanhalli,2 BHK,1121.0,2.0,2.0,95121.9512195122,2,8485455.059724549
Kambipura,3 BHK,1082.0,2.0,1.0,54878.04878048781,3,5071908.390063568
KR Puram,2 BHK,1100.0,2.0,1.0,57317.07317073171,2,5210643.015521064
Hoodi,3 BHK,1606.0,3.0,3.0,109207.31707317074,3,6799957.47653616
Billekahalli,3 BHK,1650.0,3.0,2.0,107317.0731707317,3,6504065.040650406
D Souza Layout,3 BHK,4634.0,4.0,3.0,1237804.8780487804,3,26711369.832731556
Old Airport Road,2 BHK,1206.0,2.0,3.0,91463.41463414633,2,7584031.064191238
Sarjapur  Road,3 BHK,1495.0,2.0,0.0,78048.78048780488,3,5220654.213231096
Malleshwaram,8 Bedroom,840.0,7.0,2.0,237804.8780487805,8,28310104.529616725
Electronic City,2 BHK,710.0,2.0,2.0,19512.19512195122,2,2748196.4960494675
Balagere,2 BHK,1210.0,2.0,1.0,87804.87804878049,2,7256601.491634752
Nagarbhavi,3 BHK,1523.0,2.0,2.0,65121.95121951219,3,4275899.620453854
Whitefield,2 BHK,1232.0,2.0,2.0,54878.04878048781,2,4454387.076338296
Rachenahalli,1 BHK,680.0,1.0,1.0,53658.53658536585,1,7890961.262553801
Hebbal,3 BHK,1355.0,3.0,1.0,102280.48780487805,3,7548375.483754837
Thanisandra,3 BHK,1430.0,2.0,2.0,62756.09756097561,3,4388538.290977315
Kothannur,3 BHK,1275.0,2.0,2.0,53475.60975609756,3,4194165.471066476
Electronic City,2 BHK,1070.0,2.0,1.0,68414.63414634146,2,6393891.041714155
Bettahalsoor,3 Bedroom,1200.0,3.0,1.0,103658.53658536586,3,8638211.382113822
Electronic City,4 Bedroom,2000.0,4.0,0.0,146341.46341463414,4,7317073.170731707
Bommanahalli,2 BHK,1200.0,2.0,2.0,48780.48780487805,2,4065040.6504065045
Marathahalli,3 BHK,1610.0,3.0,1.0,109756.09756097561,3,6817148.916830783
Haralur Road,2 BHK,1140.0,2.0,2.0,52439.0243902439,2,4599914.420196833
Raja Rajeshwari Nagar,2 BHK,1143.0,2.0,2.0,47134.14634146341,2,4123722.3395856004
Jakkur,4 BHK,3467.86,6.0,3.0,303658.53658536583,4,8756366.652211042
Rachenahalli,3 BHK,1530.0,2.0,2.0,90731.70731707319,3,5930176.9488283135
7th Phase JP Nagar,2 BHK,980.0,2.0,2.0,84146.34146341463,2,8586361.37381782
Whitefield,3 BHK,1485.0,3.0,2.0,79268.29268292683,3,5337932.16720046
Whitefield,3 Bedroom,1500.0,3.0,1.0,158536.58536585365,3,10569105.69105691
Whitefield,2 BHK,1280.0,2.0,1.0,91463.41463414633,2,7145579.268292682
Thanisandra,2 BHK,1265.0,2.0,2.0,103658.53658536586,2,8194350.718210741
"ECC Road, Whitefield, ",2 BHK,1132.0,2.0,1.0,81707.31707317074,2,7217960.872188228
Ashwath Nagar,2 BHK,1262.0,2.0,2.0,76829.26829268293,2,6087897.646012911
JP Nagar,2 BHK,940.0,2.0,1.0,59756.09756097561,2,6357031.655422937
Seetharampalya,3 BHK,1515.0,3.0,3.0,107317.0731707317,3,7083635.192787571
Jigani,3 BHK,1300.0,3.0,3.0,182926.82926829267,3,14071294.559099436
Kothanur,3 Bedroom,1840.0,3.0,1.0,84146.34146341463,3,4573170.731707317
Electronic City,2 BHK,890.0,2.0,2.0,54878.04878048781,2,6166072.896684023
Rukmaiah Layout,3 BHK,1655.0,3.0,2.0,104951.21951219512,3,6341463.414634147
Hennur Road,3 BHK,2060.0,3.0,1.0,181707.31707317074,3,8820743.547241298
Bommanahalli,3 BHK,1730.0,3.0,1.0,117073.17073170732,3,6767235.302410828
Yelahanka,3 BHK,2195.0,4.0,2.0,154878.0487804878,3,7055947.552641813
Kathriguppe,3 BHK,1650.0,3.0,2.0,152439.0243902439,3,9238728.750923872
KR Puram,2 Bedroom,1200.0,2.0,0.0,86585.36585365854,2,7215447.1544715455
Hosa Road,2 BHK,1079.0,2.0,1.0,39475.609756097554,2,3658536.5853658533
Panathur,2 BHK,1085.0,2.0,1.0,43902.439024390245,2,4046307.7441834332
Yelahanka,2 BHK,1075.0,2.0,1.0,62804.87804878049,2,5842314.23709586
Devanahalli Int. Airport,2 BHK,1380.0,2.0,1.0,97560.9756097561,2,7069635.913750443
Puttanahalli,3 BHK,1450.0,3.0,1.0,79268.29268292683,3,5466778.805719092
Thubarahalli,2 BHK,1200.0,2.0,2.0,95121.9512195122,2,7926829.268292683
